<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.14	00:46:00	1.11845	1.11845	1.11845	1.11845	1	0	29
2025.05.14	00:47:00	1.11845	1.11849	1.11839	1.11849	5	0	25
2025.05.14	00:48:00	1.11849	1.11856	1.11849	1.11855	20	0	25
2025.05.14	00:49:00	1.11855	1.11863	1.11852	1.11863	10	0	21
2025.05.14	00:50:00	1.11863	1.11863	1.11863	1.11863	1	0	30
2025.05.14	00:51:00	1.11863	1.11866	1.11862	1.11865	7	0	14
2025.05.14	00:52:00	1.11865	1.11865	1.11865	1.11865	1	0	23
2025.05.14	00:53:00	1.11865	1.11865	1.11862	1.11864	3	0	21
2025.05.14	00:54:00	1.11863	1.11866	1.11863	1.11866	11	0	13
2025.05.14	00:55:00	1.11863	1.11863	1.11854	1.11858	15	0	15
2025.05.14	00:56:00	1.11859	1.11864	1.11858	1.11864	11	0	18
2025.05.14	00:57:00	1.11857	1.11865	1.11849	1.11862	20	0	21
2025.05.14	00:58:00	1.11861	1.11863	1.11848	1.11859	16	0	22
2025.05.14	00:59:00	1.11858	1.11862	1.11854	1.11856	22	0	24
2025.05.14	01:00:00	1.11857	1.11891	1.11857	1.11891	53	0	8
2025.05.14	01:01:00	1.11871	1.11888	1.11865	1.11886	23	0	9
2025.05.14	01:02:00	1.11888	1.11897	1.11884	1.11897	14	0	8
2025.05.14	01:03:00	1.11900	1.11910	1.11900	1.11907	13	0	8
2025.05.14	01:04:00	1.11907	1.11914	1.11904	1.11913	13	0	7
2025.05.14	01:05:00	1.11914	1.11932	1.11913	1.11917	23	0	2
2025.05.14	01:06:00	1.11915	1.11917	1.11913	1.11916	5	0	2
2025.05.14	01:07:00	1.11917	1.11918	1.11887	1.11892	15	0	2
2025.05.14	01:08:00	1.11894	1.11908	1.11894	1.11908	9	0	3
2025.05.14	01:09:00	1.11909	1.11909	1.11909	1.11909	1	0	5
2025.05.14	01:10:00	1.11911	1.11912	1.11911	1.11911	3	0	4
2025.05.14	01:11:00	1.11910	1.11911	1.11898	1.11904	8	0	2
2025.05.14	01:12:00	1.11902	1.11902	1.11897	1.11899	15	0	2
2025.05.14	01:13:00	1.11898	1.11899	1.11876	1.11883	30	0	2
2025.05.14	01:14:00	1.11890	1.11892	1.11882	1.11885	13	0	2
2025.05.14	01:15:00	1.11886	1.11896	1.11886	1.11893	18	0	2
2025.05.14	01:16:00	1.11895	1.11895	1.11886	1.11891	18	0	2
2025.05.14	01:17:00	1.11891	1.11896	1.11890	1.11893	11	0	2
2025.05.14	01:18:00	1.11893	1.11893	1.11884	1.11884	6	0	2
2025.05.14	01:19:00	1.11888	1.11889	1.11883	1.11887	10	0	3
2025.05.14	01:20:00	1.11888	1.11898	1.11888	1.11898	23	0	3
2025.05.14	01:21:00	1.11898	1.11916	1.11898	1.11904	24	0	2
2025.05.14	01:22:00	1.11904	1.11904	1.11899	1.11903	12	0	3
